                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.5565,                 5.4859,                 4.1013,                      0,                      0,                      0,                      0,                 3.5966,                 5.4426,                 4.3896,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 3.3393,                 5.5726,                 3.9339,                      0,                      0,                      0,                      0,                 3.5966,                 5.4426,                 4.3896,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                  3.023,                 5.4265,                 3.9683,                      0,                      0,                      0,                      0,                    3.6,                 5.4488,                 4.3896,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 3.1643,                 5.4163,                 3.9558,                      0,                      0,                      0,                      0,                    3.6,                 5.4488,                 4.3896,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 2.9956,                 5.4742,                 3.9882,                      0,                      0,                      0,                      0,                 3.6092,                 5.4574,                 4.3974,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.3946,                 5.4948,                 3.6338,                      0,                      0,                      0,                      0,                 3.6092,                 5.4574,                 4.3974,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.8523,                 5.2679,                  3.994,                      0,                      0,                      0,                      0,                 3.6068,                  5.453,                 4.3973,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 2.8379,                 5.6186,                 3.7802,                      0,                      0,                      0,                      0,                 3.6068,                  5.453,                 4.3973,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.9603,                  5.583,                 4.0445,                      0,                      0,                      0,                      0,                 3.6124,                 5.4443,                 4.3978,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.8797,                 5.4887,                 3.7641,                      0,                      0,                      0,                      0,                 3.6124,                 5.4443,                 4.3978,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 3.3126,                 5.5773,                  3.954,                      0,                      0,                      0,                      0,                 3.6048,                 5.4448,                 4.3967,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 3.1594,                  5.494,                 3.9414,                      0,                      0,                      0,                      0,                 3.6048,                 5.4448,                 4.3967,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.9702,                 5.4674,                 3.9643,                      0,                      0,                      0,                      0,                 3.6226,                  5.429,                 4.4044,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                  3.095,                  5.401,                 3.8536,                      0,                      0,                      0,                      0,                 3.6226,                  5.429,                 4.4044,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.8304,                 5.5205,                 3.7685,                      0,                      0,                      0,                      0,                 3.6534,                 5.4094,                 4.4053,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.9514,                  5.753,                 3.6182,                      0,                      0,                      0,                      0,                 3.6534,                 5.4094,                 4.4053,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.8319,                 5.5081,                 3.9626,                      0,                      0,                      0,                      0,                 3.6611,                 5.4043,                 4.4066,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 3.1405,                 5.6749,                 3.8767,                      0,                      0,                      0,                      0,                 3.6611,                 5.4043,                 4.4066,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.8822,                 5.4253,                 3.9894,                      0,                      0,                      0,                      0,                 3.6611,                 5.4043,                 4.4066,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                  2.877,                 5.5594,                 3.9377,                      0,                      0,                      0,                      0,                 3.6694,                 5.4051,                 4.4198,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                  3.125,                 5.3995,                 3.9729,                      0,                      0,                      0,                      0,                 3.6694,                 5.4051,                 4.4198,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.5691,                 5.3905,                 3.9914,                      0,                      0,                      0,                      0,                 3.6694,                 5.4051,                 4.4198,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 2.9234,                 5.5064,                 3.7928,                      0,                      0,                      0,                      0,                 3.6669,                 5.4096,                 4.4199,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                  2.981,                 5.5625,                 4.0833,                      0,                      0,                      0,                      0,                 3.6669,                 5.4096,                 4.4199,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.6032,                 5.4427,                  3.904,                      0,                      0,                      0,                      0,                 3.6669,                 5.4096,                 4.4199,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 2.9231,                 5.5287,                 4.0352,                      0,                      0,                      0,                      0,                  3.666,                 5.4164,                 4.4156,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 3.0902,                   5.41,                 3.8683,                      0,                      0,                      0,                      0,                  3.666,                 5.4164,                 4.4156,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 2.3729,                 5.5493,                 3.9289,                      0,                      0,                      0,                      0,                  3.666,                 5.4164,                 4.4156,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 2.8664,                 5.5069,                 3.7835,                      0,                      0,                      0,                      0,                 3.6687,                 5.4139,                 4.4154,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 2.6853,                 5.5266,                 4.0435,                      0,                      0,                      0,                      0,                 3.6687,                 5.4139,                 4.4154,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 3.0315,                 5.5264,                 3.5967,                      0,                      0,                      0,                      0,                 3.6687,                 5.4139,                 4.4154,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 2.8104,                 5.4807,                 3.7361,                      0,                      0,                      0,                      0,                 3.6751,                 5.4139,                  4.412,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 2.6857,                 5.4497,                 3.6686,                      0,                      0,                      0,                      0,                 3.6751,                 5.4139,                  4.412,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 3.1054,                 5.6076,                 3.7889,                      0,                      0,                      0,                      0,                 3.6751,                 5.4139,                  4.412,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.5842,                 5.4761,                 3.5983,                      0,                      0,                      0,                      0,                 3.6759,                 5.4113,                 4.4072,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 2.8665,                 5.5268,                 3.8428,                      0,                      0,                      0,                      0,                 3.6759,                 5.4113,                 4.4072,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 3.5141,                 6.2137,                 4.0377,                      0,                      0,                      0,                      0,                 3.6759,                 5.4113,                 4.4072,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 3.0542,                 5.4569,                 3.8981,                      0,                      0,                      0,                      0,                  3.679,                 5.4045,                 4.4105,             2.5102e-05,             2.5102e-05,             2.5102e-05
